,id,title,keywords,genres,director,producer,compositor,actor_1,actor_2,actor_3
0,19404,Dilwale Dulhania Le Jayenge,,Comedy Drama Romance,Aditya Chopra,Yash Chopra,,Shah Rukh Khan,Kajol,Amrish Puri
1,496243,Parasite,underground birthday party private lessons class differences family crime family south korea flood smell unemployed,Drama Thriller Comedy,Bong Joon-ho,Jang Young-hwan,Jung Jae-il,Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong
2,278,The Shawshank Redemption,prison corruption police brutality prison cell delinquent parole board escape from prison wrongful imprisonment framed for murder 1940s,Drama Crime,Frank Darabont,Niki Marvin,Thomas Newman,Tim Robbins,Morgan Freeman,Bob Gunton
3,238,The Godfather,italy loss of loved one love at first sight italian american europe patriarch organized crime mafia lawyer crime family rise to power mob boss 1940s 1950s,Drama Crime,Francis Ford Coppola,Albert S. Ruddy,Nino Rota,Marlon Brando,Al Pacino,James Caan
4,372058,Your Name.,japan time travel supernatural afterlife romance school body-swap star crossed lovers anime,Romance Animation Drama,Makoto Shinkai,Genki Kawamura,Natsuko Makino,Ryunosuke Kamiki,Mone Kamishiraishi,Masami Nagasawa
5,424,Schindler's List,based on novel or book factory concentration camp hero holocaust world war ii ghetto jew persecution krakow auschwitz industrialist nudity jew nazi defense industry biography based on a true story train poland ss weapons manufacturer,Drama History War,Steven Spielberg,Steven Spielberg,John Williams,Liam Neeson,Ben Kingsley,Ralph Fiennes
6,240,The Godfather: Part II,italy italian american cuba melancholy praise revenge mafia lawyer blood suburb corrupt politician bloody body of child man punches woman,Drama Crime,Francis Ford Coppola,Francis Ford Coppola,Carmine Coppola,Al Pacino,Robert Duvall,Diane Keaton
7,129,Spirited Away,witch parent child relationship magic darkness bath house ghost world parallel world amusement park youkai japanese mythology anime spirits,Animation Family Fantasy,Hayao Miyazaki,Toshio Suzuki,Joe Hisaishi,Rumi Hiiragi,Miyu Irino,Mari Natsuki
8,497,The Green Mile,southern usa mentally disabled based on novel or book death row jail guard great depression supernatural prison guard jail electric chair magic realism healing 1930s,Fantasy Drama Crime,Frank Darabont,David Valdes,Thomas Newman,Tom Hanks,Michael Clarke Duncan,David Morse
9,637,Life Is Beautiful,italy riddle loss of loved one bookshop self sacrifice mass murder concentration camp fascism world war ii love of one's life deportation jew persecution fantasy nazi national socialism charade riding a bicycle story teller concentration camp prisoner dying and death,Comedy Drama,Roberto Benigni,Gianluigi Braschi,Nicola Piovani,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini
10,680,Pulp Fiction,transporter drug dealer boxer massage stolen money crime boss dance competition junkyard kamikaze briefcase redemption heirloom los angeles theft violence nonlinear timeline shared universe,Thriller Crime,Quentin Tarantino,Lawrence Bender,,John Travolta,Samuel L. Jackson,Uma Thurman
11,324857,Spider-Man: Into the Spider-Verse,superhero based on comic aftercreditsstinger alternate universe,Action Adventure Animation Science Fiction Comedy,Bob Persichetti,Phil Lord,,Shameik Moore,Jake Johnson,Hailee Steinfeld
12,155,The Dark Knight,dc comics crime fighter secret identity scarecrow sadism chaos vigilante joker superhero based on comic tragic hero organized crime criminal mastermind district attorney super power imax super villain,Drama Action Crime Thriller,Christopher Nolan,Christopher Nolan,Hans Zimmer,Christian Bale,Michael Caine,Heath Ledger
13,13,Forrest Gump,vietnam veteran hippie washington d.c. mentally disabled based on novel or book parent child relationship vietnam war friendship love family relationships military wounded soldier low iq false history,Comedy Drama Romance,Robert Zemeckis,Wendy Finerman,Alan Silvestri,Tom Hanks,Robin Wright,Gary Sinise
14,550,Fight Club,support group dual identity nihilism fight rage and hate insomnia dystopia alter ego violence cult film split personality quitting a job dissociative identity disorder,Drama,David Fincher,Ross Grayson Bell,John King,Edward Norton,Brad Pitt,Helena Bonham Carter
15,122,The Lord of the Rings: The Return of the King,elves dwarf orcs middle-earth (tolkien) hobbit based on novel or book suspicion volcano power giant spider bravery war addiction honor royalty troll brutality violence ghost wizard quest sword and sorcery,Adventure Fantasy Action,Peter Jackson,Peter Jackson,Howard Shore,Elijah Wood,Ian McKellen,Viggo Mortensen
16,539,Psycho,hotel clerk arizona shower rain motel taxidermy money secretary corpse murderer theft private detective proto-slasher,Horror Drama Thriller,Alfred Hitchcock,Alfred Hitchcock,Bernard Herrmann,Anthony Perkins,Janet Leigh,Vera Miles
17,429,The Good the Bad and the Ugly,bounty hunter refugee gold anti hero gallows hitman army outlaw shootout moral ambiguity spaghetti western,Western,Sergio Leone,Alberto Grimaldi,Ennio Morricone,Clint Eastwood,Eli Wallach,Lee Van Cleef
18,311,Once Upon a Time in America,life and death corruption street gang rape sadistic lovesickness sexual abuse regret prohibition money laundering opium gangster mafia boss murder memory torture new york city brooklyn bridge childhood friends 1920s 1960s 1930s,Drama Crime,Sergio Leone,Arnon Milchan,Ennio Morricone,Robert De Niro,James Woods,Elizabeth McGovern
19,18491,Neon Genesis Evangelion: The End of Evangelion,philosophy post-apocalyptic insanity mecha violence psychological body horror anime,Drama Science Fiction Animation,Kazuya Tsurumaki,Mitsuhisa Ishikawa,,Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi
20,769,GoodFellas,"prison based on novel or book florida 1970s mass murder irish-american drug traffic gangster biography based on a true story murder organized crime gore mafia new york city extreme violence violence brooklyn, new york city crime epic tampa",Drama Crime,Martin Scorsese,Irwin Winkler,,Robert De Niro,Ray Liotta,Joe Pesci
21,11216,Cinema Paradiso,sicily movie business parent child relationship cinema kiss flashback coming of age haunted by the past censorship movie theatre nuovo cinema paradiso,Drama Romance,Giuseppe Tornatore,Franco Cristaldi,Ennio Morricone,Philippe Noiret,Jacques Perrin,Marco Leonardi
22,389,12 Angry Men,judge jurors sultriness death penalty father murder puerto rican anonymity court case heat group class innocence court courtroom,Drama,Sidney Lumet,Henry Fonda,Kenyon Hopkins,Henry Fonda,Martin Balsam,John Fiedler
23,40096,A Dog's Will,brazilian,Adventure Comedy,Guel Arraes,,,Matheus Nachtergaele,Selton Mello,Lima Duarte
24,346,Seven Samurai,japan samurai sword peasant looting rice fencing village epic moral ambiguity battle bandit practice 16th century,Action Drama,Akira Kurosawa,Sôjirô Motoki,Fumio Hayasaka,Toshirō Mifune,Takashi Shimura,Yoshio Inaba
25,14537,Harakiri,japan suicide asia samurai revenge flashback poverty seppuku ronin 17th century shogunate,Action Drama History,Masaki Kobayashi,,Toru Takemitsu,Tatsuya Nakadai,Rentarô Mikuni,Shima Iwashita
26,510,One Flew Over the Cuckoo's Nest,nurse based on novel or book oregon lunatic asylum friendship hospital female villain shock treatment,Drama,Miloš Forman,Michael Douglas,Jack Nitzsche,Jack Nicholson,Louise Fletcher,Danny DeVito
27,901,City Lights,suicide attempt operation blindness and impaired vision love of one's life eye operation flower shop flower girl tramp love black and white millionaire silent film blind girl little tramp,Comedy Drama Romance,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,Virginia Cherrill,Florence Lee
28,299534,Avengers: Endgame,space travel time travel time machine sequel superhero based on comic space alien invasion superhero team marvel cinematic universe cosmic,Adventure Science Fiction Action,Joe Russo,Kevin Feige,Alan Silvestri,Robert Downey Jr.,Chris Evans,Chris Hemsworth
29,432517,Sherlock: The Final Problem,sherlock holmes tv episode,Drama Mystery,Benjamin Caron,Sue Vertue,,Benedict Cumberbatch,Martin Freeman,Mark Gatiss
30,244786,Whiplash,jazz obsession conservatory music teacher new york city violence montage drummer public humiliation jazz band young adult music school,Drama Music,Damien Chazelle,Jason Blum,Justin Hurwitz,Miles Teller,J.K. Simmons,Paul Reiser
31,12477,Grave of the Fireflies,sibling relationship hunger world war ii shelter wartime anime orphan siblings children in wartime,Animation Drama War,Isao Takahata,Tooru Hara,Michio Mamiya,Tsutomu Tatsumi,Ayano Shiraishi,Yoshiko Shinohara
32,914,The Great Dictator,germany dictator hairdresser amnesia fascism jewish ghetto world war i jew nazi propaganda national socialism national socialist party speech satire good vs evil barber shop,Comedy,Charlie Chaplin,Charlie Chaplin,Meredith Willson,Charlie Chaplin,Jack Oakie,Reginald Gardiner
33,598,City of God,street gang photographer brazil rio de janeiro ghetto gang war coming of age woman director,Drama Crime,Fernando Meirelles,Andrea Barata Ribeiro,Ed Cortês,Alexandre Rodrigues,Leandro Firmino,Phellipe Haagensen
34,599,Sunset Boulevard,new year's eve screenwriter jealousy butler loss of sense of reality diva delusion hollywood madness aging actor has been silent film star film noir grandiose  behavior kept man movie studio,Drama,Billy Wilder,Charles Brackett,Franz Waxman,William Holden,Gloria Swanson,Erich von Stroheim
35,73,American History X,usa neo nazism prison skinhead sibling relationship rape fascism brother basketball jail school swastika los angeles family hate xenophobia interracial friendship nazism,Drama,Tony Kaye,John Morrissey,Anne Dudley,Edward Norton,Edward Furlong,Beverly D'Angelo
36,4935,Howl's Moving Castle,flying witch rain castle scarecrow body exchange hatter bakery demon anime based on young adult novel,Fantasy Animation Adventure,Hayao Miyazaki,Rick Dempsey,Joe Hisaishi,Chieko Baishô,Takuya Kimura,Akihiro Miwa
37,3782,Ikiru,bureaucracy japan age difference bar office night life sense of life playground obsequies swing loneliness infatuation bureaucrat,Drama,Akira Kurosawa,Sôjirô Motoki,,Takashi Shimura,Haruo Tanaka,Nobuo Kaneko
38,1891,The Empire Strikes Back,rebel android asteroid spacecraft space battle snow storm space colony lightsaber jedi good vs evil rebellion the force space opera stormtrooper wookie jedi master jedi training droid,Adventure Action Science Fiction,Irvin Kershner,Gary Kurtz,John Williams,Mark Hamill,Harrison Ford,Carrie Fisher
39,313106,Doctor Who: The Day of the Doctor,time travel alien,Science Fiction Adventure,Nick Hurran,,,Matt Smith,David Tennant,John Hurt
40,517814,Capernaum,child abuse lebanon refugee neglect beirut lawsuit child bride illegal immigrant poverty,Drama,Nadine Labaki,Michel Merkt,Khaled Mouzanar,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole
41,11659,The Best of Youth,loss of loved one gangster career society politics family reunion family conflict,Drama Romance,Marco Tullio Giordana,Angelo Barbagallo,,Luigi Lo Cascio,Alessio Boni,Adriana Asti
42,128,Princess Mononoke,fight wolf leprosy pan wild boar territory feral child friendship princess good vs evil rural setting decapitation spirit demon deforestation anime,Adventure Fantasy Animation,Hayao Miyazaki,Toshio Suzuki,Joe Hisaishi,Yōji Matsuda,Yuriko Ishida,Yūko Tanaka
43,20914,My Friends,joke male friendship,Comedy,Mario Monicelli,,,Ugo Tognazzi,Gastone Moschin,Philippe Noiret
44,207,Dead Poets Society,individual philosophy poetry shakespeare professor literature friendship teacher school play vermont preparatory school shakespeare's a midsummer night's dream,Drama,Peter Weir,Steven Haft,Maurice Jarre,Robin Williams,Ethan Hawke,Robert Sean Leonard
45,290098,The Handmaiden,sex con man pickpocket lesbian relationship plot lust lesbian sex asian lgbt con woman japanese occupation of korea,Thriller Drama Romance,Park Chan-wook,Syd Lim,Cho Young-wuk,Kim Min-hee,Kim Tae-ri,Ha Jung-woo
46,55960,Toto Peppino and the Hussy,italian,Comedy,Camillo Mastrocinque,,,Totò,Peppino De Filippo,Dorian Gray
47,265177,Mommy,parent child relationship canada quebec dysfunctional family single mother institutionalization oedipus complex behavioral disorders,Drama,Xavier Dolan,Xavier Dolan,Noia,Anne Dorval,Suzanne Clément,Antoine-Olivier Pilon
48,10376,The Legend of 1900,ocean ship pianistin child prodigy fondling,Drama Music Romance,Giuseppe Tornatore,,,Tim Roth,Pruitt Taylor Vince,Bill Nunn
49,797,Persona,nurse confession dream betrayal patient violence silence psychiatry submerged institution medical drama,Drama,Ingmar Bergman,Ingmar Bergman,Lars Johan Werle,Bibi Andersson,Liv Ullmann,Margaretha Krook
50,26451,Investigation of a Citizen Above Suspicion,politics police whodunit crime investigation,Drama Crime,Elio Petri,Daniele Senatore,,Gian Maria Volonté,Florinda Bolkan,Gianni Santuccio
51,567,Rear Window,nurse photographer suspicion of murder girlfriend neighbor salesman apartment convalescence voyeurism homebound,Drama Mystery Thriller,Alfred Hitchcock,Alfred Hitchcock,Franz Waxman,James Stewart,Grace Kelly,Wendell Corey
52,975,Paths of Glory,germany france based on novel or book general patriotism world war i song army cowardice soldier cult film 1910s,Drama War,Stanley Kubrick,Stanley Kubrick,Gerald Fried,Kirk Douglas,Ralph Meeker,Adolphe Menjou
53,18148,Tokyo Story,coma beach baby fish boat office baseball classroom dream trip lantern lie ambition water tea song retirement cake marriage peace class swing honor gift teacher school old man,Drama,Yasujirō Ozu,Takeshi Yamamoto,Takanobu Saitô,Chishū Ryū,Chieko Higashiyama,Setsuko Hara
54,452522,Twin Peaks,,Drama Mystery,David Lynch,,,Kyle MacLachlan,Michael Ontkean,Mädchen Amick
55,16672,Woman in the Dunes,insect based on novel or book art house sand dune japanese new wave entomologist sand pit existential loneliness,Drama Thriller,Hiroshi Teshigahara,Kiichi Ichikawa,Toru Takemitsu,Eiji Okada,Kyôko Kishida,Ginzô Sekiguchi
56,423,The Pianist,resistance holocaust hunger world war ii prisoner of war homeland ghetto deportation hiding place jew persecution liberation warsaw ghetto polish resistance nazi biography concert survival based on memoir or autobiography pianist poland,Drama War,Roman Polanski,Roman Polanski,Wojciech Kilar,Adrien Brody,Thomas Kretschmann,Frank Finlay
57,101,Léon: The Professional,new york corruption loss of loved one assassin police brutality s.w.a.t. immigrant hitman training revenge murder loneliness neighbor tragic love cult film neo-noir complex relationship,Thriller Crime Drama,Luc Besson,Patrice Ledoux,Eric Serra,Jean Reno,Natalie Portman,Gary Oldman
58,895,Andrei Rublev,painter rape russia artist power icon independent film teacher torture middle ages,Drama History,Andrei Tarkovsky,Tamara Ogorodnikova,Vyacheslav Ovchinnikov,Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko
59,120,The Lord of the Rings: The Fellowship of the Ring,elves dwarf orcs middle-earth (tolkien) hobbit loss of loved one based on novel or book river mountain mine fireworks castle volcano power birthday party uncle addiction battle blizzard wizard journey ring sword and sorcery,Adventure Fantasy Action,Peter Jackson,Peter Jackson,Howard Shore,Elijah Wood,Ian McKellen,Viggo Mortensen
60,807,Se7en,self-fulfilling prophecy detective s.w.a.t. drug dealer evisceration lust and impulsiveness rage and hate pride and vanity immoderateness insomnia investigation pension police serial killer,Crime Mystery Thriller,David Fincher,Phyllis Carlyle,Howard Shore,Brad Pitt,Morgan Freeman,Gwyneth Paltrow
61,24382,Big Deal on Madonna Street,boxer heist burglary safecracker tunnel,Comedy Crime,Mario Monicelli,Franco Cristaldi,,Vittorio Gassman,Marcello Mastroianni,Renato Salvatori
62,37257,Witness for the Prosecution,nurse alibi letter widow murder lawyer trial cigarette smoking courtroom murder mystery tiki culture,Drama Mystery Crime,Billy Wilder,Arthur Hornblow Jr.,Matty Malneck,Tyrone Power,Marlene Dietrich,Charles Laughton
63,490132,Green Book,gay southern usa friendship racism pianist driver lgbt music tour 1960s america roadtrip,Drama Comedy,Peter Farrelly,Jim Burke,Kris Bowers,Viggo Mortensen,Mahershala Ali,Linda Cardellini
64,3082,Modern Times,factory ambulance invention tramp great depression industrial revolution slapstick machine pardon guilty,Drama Comedy,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,Paulette Goddard,Henry Bergman
65,27205,Inception,paris france spy philosophy hotel allegory dream virtual reality fistfight car crash rescue mission los angeles danger zero gravity imagination dream world idea subconscious,Action Science Fiction Adventure,Christopher Nolan,Christopher Nolan,Hans Zimmer,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page
66,398818,Call Me by Your Name,italy upper class based on novel or book swimming pool love gay relationship coming of age summer teenage boy masturbation first love lgbt jewish family 1980s peach,Romance Drama,Luca Guadagnino,Rodrigo Teixeira,,Timothée Chalamet,Armie Hammer,Michael Stuhlbarg
67,299536,Avengers: Infinity War,magic sacrifice superhero based on comic space battlefield genocide magical object super power team aftercreditsstinger marvel cinematic universe cosmic,Adventure Action Science Fiction,Joe Russo,Kevin Feige,Alan Silvestri,Robert Downey Jr.,Chris Hemsworth,Chris Evans
68,274,The Silence of the Lambs,based on novel or book fbi kidnapping psychopath horror murder serial killer psychological thriller cannibal moth cannibalism,Crime Drama Thriller Horror,Jonathan Demme,Kenneth Utt,Howard Shore,Jodie Foster,Anthony Hopkins,Scott Glenn
69,121,The Lord of the Rings: The Two Towers,elves dwarf orcs middle-earth (tolkien) hobbit based on novel or book explosive cave power siege fort army addiction mission attack guide split personality wizard ring sword and sorcery,Adventure Fantasy Action,Peter Jackson,Peter Jackson,Howard Shore,Elijah Wood,Ian McKellen,Viggo Mortensen
70,24188,Il Sorpasso,italian drive summer seaside,Drama Comedy,Dino Risi,Mario Cecchi Gori,Riz Ortolani,Vittorio Gassman,Catherine Spaak,Jean-Louis Trintignant
71,378064,A Silent Voice,friendship high school bullying coming of age based on manga deaf woman director sign language anime,Drama Animation Romance,Naoko Yamada,Toshio Iizuka,Kensuke Ushio,Miyu Irino,早见纱织,Aoi Yuki
72,455661,In a Heartbeat,love gay interest teenager lgbt short,Family Animation Romance Comedy,Beth David,,,Nick Ainsworth,Kelly Donohue,
73,12493,High and Low,manager ransom kidnapping blackmail chauffeur baby-snatching police shoe japanese noir film noir emaciation,Crime Drama Mystery Thriller,Akira Kurosawa,Ryûzô Kikushima,Masaru Satô,Toshirō Mifune,Tatsuya Nakadai,Kyôko Kagawa
74,25237,Come and See,war crimes world war ii nazi wehrmacht insanity surrealism teenage girl atrocity genocide russian army mine field horrors of war premature aging byelorussia eastern front children in wartime,Drama History War Horror,Elem Klimov,,Oleg Yanchenko,Aleksei Kravchenko,Olga Mironova,Liubomiras Laucevicius
75,335,Once Upon a Time in the West,loss of loved one showdown bounty bounty hunter sadness blackmail harmonica anti hero auction dying and death peasant insanity spaghetti western,Western,Sergio Leone,Fulvio Morsella,Ennio Morricone,Claudia Cardinale,Henry Fonda,Jason Robards
76,157336,Interstellar,artificial intelligence nasa spacecraft expedition future wormhole space travel famine black hole dystopia race against time quantum mechanics space rescue family relationships farmhouse robot astronaut scientist single father farmer space station imax father daughter relationship,Adventure Drama Science Fiction,Christopher Nolan,Lynda Obst,Hans Zimmer,Matthew McConaughey,Jessica Chastain,Anne Hathaway
77,1398,Stalker,wish guard stalker alien strugatsky writer soldier zone,Science Fiction Drama,Andrei Tarkovsky,Aleksandra Demidova,Eduard Artemiev,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,Nikolay Grinko
78,538362,On My Skin,,Drama,Alessio Cremonini,Olivia Musini,,Alessandro Borghi,Max Tortora,Milvia Marigliano
79,10098,The Kid,angel suicide attempt fistfight slapstick class differences rich poor foundling silent film dream sequence semi autobiographical car theft little tramp illegitimate child unwed mother abandoned baby out of wedlock child raised like own child good deed doer,Comedy Drama,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,Jackie Coogan,Edna Purviance
80,77338,The Intouchables,male friendship masseuse friendship based on a true story aristocrat paragliding interracial friendship unlikely friendship duringcreditsstinger quadriplegic quadriplegia,Drama Comedy,Eric Toledano,Nicolas Duval-Adassovsky,Ludovico Einaudi,François Cluzet,Omar Sy,Audrey Fleurot
81,105,Back to the Future,clock tower car race terrorist delorean lightning guitar plutonium sports car inventor journey in the past invention time travel race against time partner misfit mad scientist fish out of water teenage love destiny hidden identity odd couple escapade disorder chases and races love and romance teenage life misfit partners changing the past or future getting home,Adventure Comedy Science Fiction Family,Robert Zemeckis,Bob Gale,Alan Silvestri,Michael J. Fox,Christopher Lloyd,Lea Thompson
82,406997,Wonder,exclusion halloween bullying coney island prejudice school middle school based on children's book family physical disability treacher collins syndrome,Drama Family,Stephen Chbosky,David Hoberman,,Jacob Tremblay,Owen Wilson,Julia Roberts
83,8587,The Lion King,loss of loved one lion musical wild boar uncle shaman redemption king scar family hyena meerkat mandrill,Family Animation Drama,Roger Allers,Don Hahn,Hans Zimmer,Matthew Broderick,Jonathan Taylor Thomas,James Earl Jones
84,339877,Loving Vincent,painter 19th century controversial artist,Animation Drama Mystery,Dorota Kobiela,Hugh Welchman,Clint Mansell,Robert Gulaczyk,Douglas Booth,Jerome Flynn
85,28,Apocalypse Now,guerrilla river vietnam vietcong cambodia army insanity tribe mission green beret jungle apocalypse death napalm,Drama War,Francis Ford Coppola,Francis Ford Coppola,Carmine Coppola,Marlon Brando,Robert Duvall,Martin Sheen
86,284,The Apartment,new york new year's eve lovesickness age difference suicide attempt office flat spaghetti christmas party winter clerk tennis racket romantic comedy extramarital affair,Comedy Drama Romance,Billy Wilder,Billy Wilder,Adolph Deutsch,Jack Lemmon,Shirley MacLaine,Fred MacMurray
87,411088,The Invisible Guest,judge suspect interrogation false accusation of murder unreliable narrator confession of crime uncover truth accusation,Mystery Crime Thriller,Oriol Paulo,,,Mario Casas,José Coronado,Bárbara Lennie
88,5156,Bicycle Thieves,rome italy italian riding a bicycle society poster job thief search stolen bicycle madame unemployment realism neo realism italian neo realism,Drama,Vittorio De Sica,Giuseppe Amato,Alessandro Cicognini,Lamberto Maggiorani,Enzo Staiola,Lianella Carell
89,470044,The Hate U Give,based on novel or book based on young adult novel,Crime Drama,"George Tillman, Jr.",Robert Teitel,Dustin O'Halloran,Amandla Stenberg,Regina Hall,Russell Hornsby
90,426,Vertigo,san francisco sense of guilt bachelor obsession love of one's life vertigo museum necklace grave plan painting film noir,Mystery Romance Thriller,Alfred Hitchcock,Alfred Hitchcock,Bernard Herrmann,James Stewart,Kim Novak,Barbara Bel Geddes
91,992,Sherlock Jr.,amateur detective pickpocket slapstick jungle motorcycle false accusations silent film projectionist booby trap handkerchief magnifying glass railyard banana peel pearls,Action Comedy Mystery,Buster Keaton,Buster Keaton,,Buster Keaton,Kathryn McGuire,Joe Keaton
92,1585,It's a Wonderful Life,holiday angel bank suicide attempt desperation small town great depression family business  black and white nervous breakdown christmas eve old house alternate reality newlywed told in flashback guardian angel high school dance christmas building and loan,Drama Family Fantasy,Frank Capra,Frank Capra,Dimitri Tiomkin,James Stewart,Donna Reed,Lionel Barrymore
93,670,Oldboy,sushi restaurant rage and hate notebook daughter hostility sin revenge loneliness urination anger catholic incest south hypnosis,Drama Thriller Mystery Action,Park Chan-wook,Syd Lim,Cho Young-wuk,Choi Min-sik,Yoo Ji-tae,Kang Hye-jung
94,422,8½,individual scapegoat adultery screenplay cinecittà movie business depression suicide attempt creative crisis kurort difficult childhood missile dying and death unsociability extramarital affair existence spectacle,Fantasy Drama,Federico Fellini,Angelo Rizzoli,Nino Rota,Marcello Mastroianni,Claudia Cardinale,Anouk Aimée
95,629,The Usual Suspects,law relatives theft criminal criminal mastermind hungarian sibling,Drama Crime Thriller,Bryan Singer,Bryan Singer,,Stephen Baldwin,Kevin Spacey,Gabriel Byrne
96,19,Metropolis,man vs machine based on novel or book underground world inventor metropolis future class society dystopia tower of babel delirium mad scientist prophet robot destruction silent film expressionism seven deadly sins depravity mob justice downtrodden saviour social unrest german expressionism mediator,Drama Science Fiction,Fritz Lang,Erich Pommer,Gottfried Huppertz,Gustav Fröhlich,Brigitte Helm,Alfred Abel
97,38288,I Corti,,,Arturo Brachetti,Paolo Guerra,,Aldo Baglio,Giacomo Poretti,Giovanni Storti
98,282848,Doctor Who: The Time of the Doctor,,Drama Science Fiction TV Movie,James Payne,Marcus Wilson,,Matt Smith,Jenna Coleman,Peter Capaldi
99,11,Star Wars,android galaxy hermit death star lightsaber jedi rescue mission empire rebellion planet smuggler the force space opera galactic war stormtrooper totalitarianism,Adventure Action Science Fiction,George Lucas,Gary Kurtz,John Williams,Mark Hamill,Harrison Ford,Carrie Fisher
100,694,The Shining,hotel montana isolation hotelier oregon colorado maze bartender ax delusion loneliness caretaker vision snow writer alcoholic cult film snowed in off season,Horror Thriller,Stanley Kubrick,Stanley Kubrick,Wendy Carlos,Jack Nicholson,Shelley Duvall,Danny Lloyd
101,110420,Wolf Children,japan forest growing up children rural setting single mother farming community farming furries anime,Animation Drama Family Fantasy,Mamoru Hosoda,Takuya Itō,,Aoi Miyazaki,Takao Osawa,Haru Kuroki
102,77,Memento,individual insulin tattoo waitress amnesia motel insurance salesman revenge flashback confusion memory loss los angeles polaroid cult film nonlinear timeline individuality neo-noir,Mystery Thriller,Christopher Nolan,Jennifer Todd,David Julyan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano
103,429210,Bingo: The King of the Mornings,television clown fame 1980s,Comedy Drama,Daniel Rezende,Caio Gullane,,Vladimir Brichta,Leandra Leal,Tainá Müller
104,490,The Seventh Seal,chess countryside witch blacksmith allegory symbolism artist last judgment pest crusade juggler burning of witches sense of life dying and death demon black death death personified death incarnate 14th century,Fantasy Drama,Ingmar Bergman,Allan Ekelund,Erik Nordgren,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot
105,239,Some Like It Hot,chicago florida witness musician mafia cross dressing train band spats all girl band st. valentine's day massacre sugar valentine's day dressing,Comedy Romance,Billy Wilder,Billy Wilder,Adolph Deutsch,Marilyn Monroe,Tony Curtis,Jack Lemmon
106,705,All About Eve,jealousy obsession manipulation fan engagement celebrity party playwright hollywood black and white director relationship insecurity envy broadway critic based on short story theatre broadway star,Drama,Joseph L. Mankiewicz,Darryl F. Zanuck,Alfred Newman,Bette Davis,Anne Baxter,George Sanders
