id,cluster
278,27
238,19
372058,43
424,30
240,38
129,58
324857,111
497,19
637,216
680,0
155,117
539,1
550,4
13,70
389,4
122,10
12477,8
510,2
769,40
11216,3
901,70
18491,174
311,19
14537,218
244786,53
346,110
914,175
429,34
599,4
598,19
73,54
4935,102
128,102
517814,4
1891,18
26451,19
3782,4
975,8
207,2
290098,41
455661,142
265177,24
797,5
18148,5
490132,11
11659,113
37257,64
20914,175
567,35
101,38
398818,46
10376,6
3082,7
423,8
895,54
807,12
120,10
339877,68
24382,97
27205,92
378064,2
24188,7
299536,189
274,225
1398,9
121,10
335,34
10098,7
77338,11
12493,225
406997,37
411088,12
105,222
157336,99
426,101
25237,30
19,99
284,13
1585,192
5156,4
28,14
629,15
422,115
705,4
780,96
8587,37
110420,16
670,218
449176,70
694,17
548,52
77,101
11,18
185,174
239,36
996,47
490,115
470044,227
92321,58
429210,7
359940,64
9764,231
10494,167
833,4
500,0
103,19
110416,58
149871,16
935,14
334543,20
614,5
1124,35
654,64
354912,21
19542,43
832,117
8392,58
264644,42
14696,68
872,211
11878,42
50014,4
424694,152
10242,159
439,216
1422,15
289,43
111,117
16869,169
98,231
147,4
1394,5
360814,22
15,68
1396,96
843,127
29264,180
600,14
1092,101
3090,231
7345,108
140420,32
655,90
857,30
11423,176
11324,35
12445,187
307,96
603,197
28971,23
205596,30
38,133
46738,14
9277,129
110,68
489,46
582,42
11712,7
11645,110
18438,23
2517,108
324786,30
387,30
348,137
595,19
1059,228
103663,24
11104,23
378108,37
1955,83
42229,43
10997,4
62,199
204,85
7347,25
775,140
662,133
32085,58
315465,58
120467,7
310569,24
19426,4
521,161
1580,15
641,19
821,30
1626,4
3112,159
666,4
37165,7
14,24
303867,104
83564,32
381284,83
2721,162
279,96
505192,19
406,4
12104,130
17295,26
68718,2
316029,20
3083,7
29845,90
146233,38
430424,129
11778,14
631,127
8422,64
10404,4
7508,24
1892,18
28178,2
11656,19
947,30
100,97
393729,2
10238,108
5511,15
293299,29
962,219
336804,108
334533,219
396,4
10681,200
31442,5
10774,64
1091,178
5924,27
10515,182
451945,4
25364,4
938,34
405,27
150540,37
627,19
3175,14
213,101
435129,37
11010,70
106646,129
466282,65
5925,30
524,19
596,4
33320,43
5544,126
76203,96
78,99
381341,7
266856,160
149,235
13223,54
829,161
93,161
9323,235
25376,52
827,59
60243,4
3777,96
21334,120
1578,28
3034,232
673,187
1675,7
33,34
934,25
15383,8
223,68
10227,175
400928,29
804,23
142061,138
24,227
11293,129
194,36
41050,4
70,67
118340,111
862,142
234200,7
593,44
280,215
16,19
8290,175
20453,23
2011,24
20334,70
13042,32
7857,7
14160,69
4348,43
210577,35
49687,23
13398,37
770,14
8885,14
426426,4
7984,20
11602,4
6977,15
313369,50
640,40
303,162
115,97
399174,69
16804,4
752,181
745,35
235,19
826,30
851,127
20126,31
1402,20
10674,95
301,34
679,221
122906,104
81,102
144,115
85,226
197,158
198,175
152601,133
13929,32
3078,36
762,150
982,42
11953,158
11036,75
275,225
5915,20
152742,52
242828,2
169813,24
329,18
76,43
166428,95
22843,235
320007,33
963,47
71157,4
314365,42
391,34
335578,26
234,15
25253,164
1280,75
4480,4
24480,32
903,27
702,54
990,67
14574,8
6075,73
24238,7
113,4
453,75
2108,118
108,113
11787,120
141,24
776,23
11898,7
1018,35
265195,42
37797,37
10386,200
925,4
11482,17
703,70
949,117
1628,2
632,14
14580,51
777,26
4497,4
371645,219
13855,73
393,81
200727,36
671,45
613,30
873,54
581,39
8416,4
110160,43
5961,68
981,36
9421,175
553,15
968,15
24657,4
583,175
24653,19
136,136
428493,43
143,8
393559,37
16305,219
14069,174
382591,7
269,19
261,127
9479,195
12,32
16859,16
12093,19
2118,161
149870,32
177572,131
10835,117
993,12
887,126
597,46
15794,51
1075,166
451480,126
59440,4
238628,14
4977,190
845,47
4808,101
84892,4
10775,173
263115,99
309,24
17483,108
14811,3
16391,4
9702,117
107,0
3114,34
297222,11
265169,124
1633,7
10633,161
11686,175
11902,8
89,226
11005,4
86837,46
142,113
47931,25
1480,15
18329,43
117,15
336,34
419478,48
576,34
2786,42
585,142
587,24
483184,38
404,20
336808,39
11621,69
653,240
247,97
8703,193
10322,7
29458,40
1646,40
525,164
13363,174
1040,4
877,117
8342,201
805,49
164,13
375262,7
269149,69
8832,4
12444,187
12405,43
674,187
322,161
3009,19
1093,15
45269,96
10193,142
665,122
995,34
380,113
891,162
440298,6
2440,72
10191,182
10020,195
9800,4
374473,4
343,23
296096,43
910,47
18079,15
14784,39
1417,14
288,34
1879,23
96721,207
11697,34
220,46
9343,231
49026,117
1700,42
396535,151
10161,20
3767,41
284427,167
11327,27
16306,235
126319,142
4481,113
313297,95
792,14
26280,24
1366,75
793,161
334,24
5165,68
1654,169
55,42
11113,50
11220,46
68,194
11356,86
277216,124
515916,4
976,53
1939,68
37719,175
83666,23
37247,90
820,162
2493,80
4024,43
273248,52
205,26
17057,47
165,213
82702,21
514754,58
678,35
11016,15
22,189
111083,31
242582,15
375572,67
8094,4
244,44
286217,44
221,24
9081,5
672,45
180299,184
648,115
11031,130
413594,189
9806,138
10331,55
21734,64
99,7
100402,111
10315,69
1600,42
11040,219
1587,108
283995,111
562,144
489999,35
333339,199
207703,164
900,36
5528,50
162,115
16642,46
167581,43
64,54
1786,14
11854,46
306819,4
14756,207
6844,96
28580,4
4593,175
17431,99
22683,20
531,142
2000,201
3001,36
3133,19
4995,4
12429,32
1592,161
15097,175
11657,176
2062,58
9040,19
12548,11
2433,211
11190,35
10757,7
272,25
2013,4
283587,14
11299,235
11167,17
158,97
5910,19
767,45
30018,47
12516,5
244063,2
8073,19
10229,48
21575,27
414425,4
4909,141
31417,59
222935,48
41411,26
643,96
3529,149
24428,111
675,45
773,120
1632,162
11562,82
3558,20
638,35
10778,19
1712,43
15137,235
527,54
9552,49
9444,32
9377,165
824,50
940,101
871,134
9475,53
51608,239
13187,237
9394,148
12169,4
15121,114
11321,4
308369,118
746,96
244267,174
11046,146
3870,126
578,17
7735,42
765,157
874,96
1607,51
137113,98
592,52
262,7
3116,53
907,74
11610,23
4291,29
175,3
4960,53
11782,81
109424,72
260513,138
487558,40
9023,69
21450,7
8333,227
229,172
8358,39
13466,20
246741,55
642,34
5708,4
2009,54
1245,43
433,206
985,172
309809,102
346648,61
10907,226
747,55
100271,16
71859,42
83389,37
27327,157
212,204
57158,10
264660,174
43920,4
9693,123
11906,170
15371,94
10637,67
10683,120
4347,74
337703,16
221731,231
475,19
14813,32
11344,25
389015,20
71,56
319,57
19101,16
2649,35
625,26
983,39
812,195
1360,160
12498,4
11030,175
379,73
923,172
966,34
3063,175
1904,126
11658,146
293660,228
44214,203
109,68
9912,4
63,215
4982,19
489925,7
11704,182
64690,73
11798,73
11171,4
451657,24
808,21
688,127
51739,58
16958,15
1933,1
11481,59
16372,60
277834,131
72478,118
11159,24
284293,4
85350,118
10435,20
16619,4
382614,24
491418,7
1902,42
339,82
251516,143
782,190
15472,161
198375,43
1913,108
14433,158
127585,111
211954,7
1726,111
38757,32
14836,32
15764,74
574,161
10784,6
11474,223
1051,81
383498,228
407445,160
284053,111
7500,81
3035,137
14257,175
63311,1
9340,61
186,161
404378,29
433247,26
14919,138
10787,62
290,7
6620,70
212167,44
630,45
338,216
626,5
9549,96
491584,35
137,63
4638,164
967,201
6404,49
74879,64
79,201
902,134
3580,176
28874,32
59436,145
13310,136
451915,20
1554,129
948,17
9366,15
4550,42
10747,34
4951,65
984,81
323272,43
315846,7
4553,42
9504,52
828,66
177945,24
218,123
1954,91
11901,34
7452,19
1052,35
11471,27
649,127
12102,124
9289,30
5967,50
1523,4
9571,118
10110,26
265180,4
2056,11
571,172
9665,14
532,142
377263,126
26963,58
228205,46
10843,82
419430,170
863,142
530,200
10549,113
43949,43
407449,4
11206,238
7913,7
334541,4
74308,4
1407,152
11816,24
22881,67
37903,68
226,64
11969,34
786,56
219,23
486947,15
783,30
1883,96
650,19
8321,129
8740,17
11545,7
19067,14
154,92
14282,102
273895,96
138843,17
5723,6
11943,34
330459,18
22584,223
11549,178
12837,39
24226,4
11688,21
203833,4
522,7
9462,227
363,46
3085,23
11970,21
1372,72
819,15
11829,34
11178,23
27632,172
12163,43
1542,175
2134,224
9385,69
4174,35
13689,4
601,208
10734,40
1023,129
575,42
9008,42
779,240
10911,146
9428,7
4922,41
416477,23
921,126
37181,4
2292,165
429174,4
137106,21
129670,39
394117,2
16320,224
1251,8
205220,4
13932,95
10950,4
374720,8
4133,19
69,6
36040,108
252,206
6037,204
228150,8
1088,113
11368,15
10794,233
260,31
13321,42
1949,161
7214,67
13475,18
616,158
356296,15
11202,30
41201,37
7863,20
157354,4
503314,150
266,4
38985,76
140607,220
329865,9
13446,7
16563,56
18,92
18333,49
132344,5
11615,47
3109,70
339403,227
2291,68
14534,71
194662,82
2757,129
281957,85
179144,7
1847,161
74643,23
192,35
33273,72
57361,73
101299,134
620,180
76341,215
1579,223
802,113
258480,3
9495,141
7549,110
274109,39
36557,76
1541,85
10377,7
10849,188
11713,218
11881,29
1116,108
16646,96
293863,46
687,54
417261,6
1594,97
206487,91
2640,11
892,196
433498,83
9016,208
239877,129
4203,7
11349,42
190859,14
4543,165
13635,117
11544,32
388,225
348678,7
12140,174
11663,56
2898,36
227306,71
1923,68
340666,42
763,55
289222,83
271674,74
6916,148
395834,47
140823,83
34653,43
10086,129
9461,141
145,3
856,21
8055,48
9559,15
30197,175
3110,4
193756,72
1653,4
6003,75
376290,42
284689,30
10518,53
2501,72
228326,21
318781,126
839,141
6644,34
7249,200
40794,23
17159,175
153,23
12481,141
2034,117
318121,7
13008,19
8440,27
286192,32
436343,43
8356,43
658,76
88273,126
11426,14
568,96
713,127
76758,26
1791,154
335984,91
8741,30
19995,140
9509,198
152603,46
49020,77
4689,218
9662,7
340,7
165213,167
621,50
377273,4
284054,111
187,81
8424,23
398173,78
38234,141
639,13
9075,8
488,74
106,92
10400,20
9299,230
75656,100
332270,74
376867,24
304357,4
4584,43
10795,161
9516,25
2666,199
4476,74
259316,187
121875,118
11661,30
315635,44
21484,79
250538,4
37135,119
420814,80
2798,175
54138,140
132363,20
8810,224
17529,4
1254,24
21191,117
690,27
176,106
11589,205
3933,195
127533,201
196,213
94329,81
1677,113
2639,82
64682,43
7862,8
1429,27
5506,97
33997,4
249164,48
10654,211
500664,212
492,63
20246,161
307081,207
82695,96
399404,83
1669,76
840,174
2503,173
13041,231
76543,43
1359,78
13151,21
5503,179
590,4
15152,164
11499,96
11850,190
881,4
2252,12
756,32
11644,167
245168,83
342737,24
51241,46
11963,167
209274,4
11772,170
3766,52
22538,84
248933,4
38142,43
407448,47
228203,4
519035,36
850,237
17654,98
312221,67
10024,108
10669,85
10617,110
161,0
14736,65
134,228
853,74
34647,115
246,231
114150,36
12207,105
9056,81
19666,6
13368,211
1368,76
345,35
8374,81
111969,7
10149,7
37094,15
177,216
427,105
116,33
4816,19
12762,86
30497,172
10234,59
381,33
760,86
10437,192
197082,4
457,120
44716,2
271110,111
9589,4
63310,19
1813,35
37472,207
1725,50
284052,111
70670,0
766,157
9539,59
87827,231
22803,15
88,6
11416,201
506,161
140,33
242,15
256040,110
469,11
319373,4
8681,141
45317,87
4147,15
146,139
152780,68
325113,4
11305,129
239571,43
3176,85
764,172
801,14
447332,153
794,17
21641,88
99861,18
4771,176
228194,4
33511,20
10139,83
391713,7
459,126
866,24
11072,175
39107,89
16633,121
15999,220
9361,146
420622,160
401104,90
15196,12
2841,74
10360,83
11868,172
686,174
77016,15
220289,91
10474,19
2759,7
46838,232
353081,209
169881,201
375315,54
628,240
6114,172
11450,96
104,72
814,232
9550,139
551,231
830,137
855,158
470,15
458423,165
3089,34
273481,198
5590,63
65754,161
353728,4
10144,32
462,20
11639,180
20312,80
922,115
299537,18
16520,50
10511,53
10644,36
9652,42
114,77
2028,65
191714,43
454983,36
167073,43
76589,138
205587,24
606,126
119450,215
318846,7
507076,59
338766,15
1640,90
58857,231
6145,167
13597,241
400617,124
436,15
5123,114
82690,131
14202,36
242643,81
11101,30
109445,95
168259,217
403431,7
1433,177
399055,115
2502,203
17814,141
11296,96
10860,23
338189,4
1544,23
11528,163
426613,4
180,212
4688,115
16307,170
340613,124
9267,175
297762,241
12162,203
9609,5
404368,21
537996,7
11457,24
81188,58
623,97
837,199
205601,4
4011,180
2756,92
9918,4
323677,93
449749,43
10925,55
232,25
10994,113
18785,175
245913,93
425,69
80278,42
2654,170
11837,39
1895,18
122917,10
361292,1
472451,4
419639,42
429197,83
10112,69
5825,237
844,121
44264,113
24804,148
406990,66
11020,68
49538,18
13183,190
25846,7
4415,126
350,23
9325,95
377,60
3131,96
15370,16
10440,149
11230,148
1491,46
57212,8
68734,162
1850,7
69315,66
39324,235
45612,190
403,7
9013,94
11051,4
381288,214
19908,55
271714,152
11462,101
11524,0
1598,38
11044,63
9470,164
451,43
9474,175
9464,129
37799,4
594,82
12473,19
11886,32
9426,137
227,19
813,175
10647,23
474354,15
110398,96
296098,162
340027,20
45958,4
11485,97
10772,34
34433,95
771,237
87,226
5236,12
374461,2
129112,4
1262,63
15080,43
381289,206
250480,32
287495,30
465914,19
19913,70
695,216
30890,56
5693,67
294016,20
859,43
5902,30
61791,123
11660,15
50646,23
324849,21
51828,46
167,174
138,240
11673,126
243,23
11236,16
59468,219
1278,154
20352,142
476299,170
4518,96
4441,43
130925,206
504603,97
86829,53
199,92
49051,10
9388,7
916,117
2998,43
1427,19
8293,108
10693,195
1878,219
6978,150
12289,231
65229,4
2657,120
11646,30
1213,15
14047,20
376660,11
16608,179
20345,170
63831,4
18320,83
11929,47
11934,82
1440,128
8923,19
308639,129
203,19
2117,83
1623,27
11978,4
97365,3
49047,66
8337,98
10236,43
417678,46
10312,7
412202,4
10722,164
4538,120
2609,175
10150,58
58,189
293670,31
2270,241
22954,96
371638,7
14359,68
1548,7
5488,23
1645,15
170,62
9322,141
364051,96
346364,177
9833,41
209276,4
1830,15
635,170
2977,43
401,23
336050,8
994,38
64720,42
458,23
14447,142
156022,100
6537,59
13382,32
35690,108
332283,160
45094,108
46829,7
12105,182
22527,52
19833,175
8428,56
168,213
259693,170
861,18
1714,99
329805,43
51497,100
9078,32
11687,180
80184,101
759,211
11050,216
11576,228
157370,41
13001,140
254172,4
9587,3
15067,228
1265,119
9473,130
421,219
217993,138
9603,65
213121,21
270400,4
14306,202
25793,54
4176,35
2055,34
14748,19
504,64
1643,154
10536,168
10986,175
38810,4
429191,4
12143,19
573,238
15283,102
5548,123
556803,36
2323,67
10501,69
293,108
197950,81
259954,36
345920,43
509,23
8053,52
2832,101
15588,171
206563,15
8844,241
1538,103
72113,7
10673,53
1555,23
44826,119
2277,104
7340,17
409,74
267,41
4232,106
37136,97
13012,173
317557,71
51876,190
476,19
11446,120
79707,102
10528,227
788,29
10403,129
60308,67
9576,188
1443,43
624,39
399366,31
11093,4
152584,48
74306,7
7350,124
212778,105
328387,94
2355,113
245891,181
1574,129
236735,167
172106,67
62204,39
268,138
6615,23
11393,67
23168,15
82881,142
19123,94
657,209
8088,46
941,171
9540,59
3293,20
10975,179
12092,182
10009,95
68722,4
8963,167
157832,4
8438,15
473,35
8470,225
12877,38
11647,176
445,35
10653,127
1678,62
285,189
258230,5
10601,241
390497,110
8329,106
59,15
112949,36
177677,209
2567,20
11527,45
40807,11
49948,32
14412,47
11893,141
1572,144
10634,105
10648,173
10141,97
17612,154
11177,4
1730,1
11815,137
5916,81
333352,14
449992,81
8879,34
396371,40
147773,11
279229,121
11533,241
11337,23
1621,175
72570,43
34584,187
508,23
364689,69
297,68
50348,15
38684,46
487670,235
483,204
1259,154
10948,37
979,107
10559,66
8393,148
472734,7
22536,59
14292,67
1271,226
42297,50
116745,219
369972,83
6023,43
203801,228
378,97
17443,161
931,59
198663,215
5176,34
365942,44
429200,73
6479,215
257211,175
11971,23
430447,102
13885,49
4032,7
297725,196
1485,0
440161,7
10102,109
37724,209
1997,119
711,108
1024,46
31906,41
68730,96
1807,19
21588,55
8469,109
8092,4
454652,83
23483,227
58574,179
239563,11
1073,47
9905,0
4104,120
612,72
424488,14
883,7
11257,43
9741,203
1367,124
12614,211
1103,98
13320,36
4012,4
82684,67
11509,25
70160,199
7972,15
1694,137
12889,196
2054,114
11561,194
9787,110
455207,23
5919,141
10712,124
251,115
283552,43
336000,4
569547,190
6418,43
11219,149
978,122
9829,117
12560,11
14299,96
28384,211
527435,80
761,175
102899,111
321741,20
365045,95
336843,197
8619,14
48034,7
127517,42
651,14
609,172
4836,225
860,91
241,73
241771,43
10625,112
9837,69
1164,113
345938,113
13785,175
290250,233
11153,205
236,23
82693,77
1985,35
418680,83
10868,54
615,4
324560,101
10083,72
17917,114
8363,112
2668,1
5279,47
10142,26
363676,83
9316,141
36950,20
103332,63
2742,19
10223,0
3053,232
302401,40
14139,91
4727,175
252822,168
102651,241
659,30
9675,23
203819,20
103731,4
9994,142
10514,91
39486,20
10217,4
10830,206
4512,110
11004,7
25508,59
200085,174
370755,23
396263,235
23169,3
90,191
11287,7
9769,46
11176,61
22302,64
607,143
12159,115
936,97
401898,43
181808,220
10340,32
1900,15
291270,23
4552,68
546,53
10531,35
116149,61
1089,100
37495,129
9502,69
393519,49
43923,118
927,157
300671,158
1715,4
9281,33
557,189
6471,175
8072,99
84199,65
384677,188
12144,95
10476,50
468,24
339984,24
9696,164
256962,8
10753,81
423646,19
2769,211
11447,4
33613,116
11973,167
1924,220
7304,117
351339,169
8408,137
11165,30
44115,85
64685,53
398,40
10867,4
402897,175
68924,4
14637,42
9746,96
160588,120
8764,175
55931,235
332872,46
9434,84
15255,81
395993,4
369883,202
19265,36
354859,126
156700,118
11336,62
526,189
9542,151
11636,117
28053,7
228970,20
1165,113
397538,28
11454,78
446354,83
310307,83
24253,173
11826,73
6968,117
405774,42
15400,142
2024,158
127380,69
10564,23
323661,21
13550,170
411,241
1553,51
912,33
12230,69
9003,60
454227,83
22494,104
327,15
366924,235
408,58
7270,15
2383,119
9555,201
652,122
281338,174
424781,196
12149,162
85739,25
265228,4
864,163
11797,105
184352,35
432087,120
4588,154
13378,237
1885,90
847,189
493922,170
43539,33
4192,136
76025,108
7326,48
180863,27
2671,17
9846,0
9802,144
77495,167
1958,12
62211,32
10895,32
465136,121
428449,115
70667,122
11386,33
10545,37
2280,63
16052,152
30508,56
1272,91
9454,23
300,109
646,209
10707,82
9303,33
33914,202
644,44
9427,175
24684,3
10436,13
7299,123
8051,120
339987,46
173,44
926,200
8974,123
9606,235
87093,124
395991,4
12914,140
109410,125
9441,23
24469,2
343668,228
298382,4
9820,202
11831,96
474395,138
10220,53
10122,229
65215,142
1857,235
15487,67
1090,190
9929,69
7485,173
11075,1
281,66
250734,43
2469,129
381283,49
330483,46
15849,172
397837,35
65,56
9701,54
3472,15
755,81
53487,24
13342,11
9443,96
2604,14
174,92
448095,210
11367,97
1581,36
363088,222
10497,41
1584,135
9692,4
9430,97
13198,63
2100,72
4464,96
14506,80
8095,126
324552,81
166666,19
20766,39
1381,44
56292,209
36658,92
77877,124
9631,176
9953,2
2907,157
84329,104
489931,19
1808,56
36657,18
809,21
10198,32
55347,23
10130,4
302946,15
9026,126
4643,231
25196,6
13416,67
11616,228
341744,7
337556,121
333371,66
26428,201
16553,188
93456,142
1934,36
1637,227
401246,4
2322,129
17111,170
